month,product_id,product_name,atc_code,region,total_units,total_sales,avg_unit_price,promo_days
2020-01-01,GEN-47,Generic Painkiller 47,N02BE/B,South West,27,88.25,3.2840000000000003,1
2020-01-01,GEN-47,Generic Painkiller 47,N02BE/B,West Midlands,25,87.57,3.5045454545454544,0
2020-01-01,GEN-47,Generic Painkiller 47,N02BE/B,Yorkshire & Humber,42,142.15,3.3986666666666667,0
2020-01-01,GEN-48,Generic Painkiller 48,N02BE/B,East Midlands,7,24.96,3.55,0
2020-01-01,GEN-48,Generic Painkiller 48,N02BE/B,East of England,17,56.39,3.25,2
2020-01-01,GEN-48,Generic Painkiller 48,N02BE/B,London,21,72.46,3.507142857142857,0
2020-01-01,GEN-48,Generic Painkiller 48,N02BE/B,North East,13,46.519999999999996,3.533333333333333,0
2020-01-01,GEN-48,Generic Painkiller 48,N02BE/B,North West,10,35.29,3.6266666666666665,0
2020-01-01,GEN-48,Generic Painkiller 48,N02BE/B,Scotland,26,90.3,3.469,0
2020-01-01,GEN-48,Generic Painkiller 48,N02BE/B,South East,10,30.58,3.026,1
2020-01-01,GEN-48,Generic Painkiller 48,N02BE/B,South West,33,108.95,3.3240000000000003,1
2020-01-01,GEN-48,Generic Painkiller 48,N02BE/B,West Midlands,27,94.44,3.5869230769230773,0
2020-01-01,GEN-48,Generic Painkiller 48,N02BE/B,Yorkshire & Humber,11,38.269999999999996,3.4525,0
2020-01-01,GEN-49,Generic Painkiller 49,N02BE/B,East Midlands,11,35.84,3.223333333333333,1
2020-01-01,GEN-49,Generic Painkiller 49,N02BE/B,East of England,8,26.22,3.3049999999999997,0
2020-01-01,GEN-49,Generic Painkiller 49,N02BE/B,London,10,36.41,3.582,0
2020-01-01,GEN-49,Generic Painkiller 49,N02BE/B,North East,24,84.37,3.5281818181818183,1
2020-01-01,GEN-49,Generic Painkiller 49,N02BE/B,North West,20,64.69,3.2449999999999997,0
2020-01-01,GEN-49,Generic Painkiller 49,N02BE/B,Scotland,16,54.339999999999996,3.5100000000000002,1
2020-01-01,GEN-49,Generic Painkiller 49,N02BE/B,South East,13,41.27,3.185,0
2020-01-01,GEN-49,Generic Painkiller 49,N02BE/B,South West,9,32.34,3.5324999999999998,0
2020-01-01,GEN-49,Generic Painkiller 49,N02BE/B,West Midlands,15,50.31999999999999,3.2285714285714286,1
2020-01-01,GEN-49,Generic Painkiller 49,N02BE/B,Yorkshire & Humber,6,19.630000000000003,3.276666666666667,1
2020-01-01,GEN-50,Generic Painkiller 50,N02BE/B,East Midlands,13,44.33,3.427142857142857,2
2020-01-01,GEN-50,Generic Painkiller 50,N02BE/B,East of England,20,67.46,3.385,1
2020-01-01,GEN-50,Generic Painkiller 50,N02BE/B,London,31,105.95,3.433,0
2020-01-01,GEN-50,Generic Painkiller 50,N02BE/B,North East,19,63.39,3.434285714285714,0
2020-01-01,GEN-50,Generic Painkiller 50,N02BE/B,North West,17,56.41,3.3475,0
2020-01-01,GEN-50,Generic Painkiller 50,N02BE/B,Scotland,13,43.9,3.4185714285714286,1
2020-01-01,GEN-50,Generic Painkiller 50,N02BE/B,South East,13,46.11,3.5420000000000003,0
2020-01-01,GEN-50,Generic Painkiller 50,N02BE/B,South West,7,22.71,3.2325,0
2020-01-01,GEN-50,Generic Painkiller 50,N02BE/B,West Midlands,15,48.69,3.1700000000000004,2
2020-01-01,GEN-50,Generic Painkiller 50,N02BE/B,Yorkshire & Humber,17,58.68,3.405,0
2020-01-01,GEN-51,Generic Painkiller 51,N02BE/B,East Midlands,14,46.56,3.3379999999999996,0
2020-01-01,GEN-51,Generic Painkiller 51,N02BE/B,East of England,9,31.94,3.6119999999999997,1
2020-01-01,GEN-51,Generic Painkiller 51,N02BE/B,London,17,55.769999999999996,3.275714285714286,1
2020-01-01,GEN-51,Generic Painkiller 51,N02BE/B,North East,8,25.93,3.1225,1
2020-01-01,GEN-51,Generic Painkiller 51,N02BE/B,North West,14,47.089999999999996,3.5216666666666665,1
2020-01-01,GEN-51,Generic Painkiller 51,N02BE/B,Scotland,15,51.36,3.466,0
2020-01-01,GEN-51,Generic Painkiller 51,N02BE/B,South East,14,48.150000000000006,3.5140000000000002,0
2020-01-01,GEN-51,Generic Painkiller 51,N02BE/B,South West,16,51.07,3.2660000000000005,1
2020-01-01,GEN-51,Generic Painkiller 51,N02BE/B,West Midlands,13,46.67,3.6225,0
2020-01-01,GEN-51,Generic Painkiller 51,N02BE/B,Yorkshire & Humber,13,45.35,3.4125,0
2020-01-01,GEN-52,Generic Painkiller 52,N02BE/B,East Midlands,17,53.89,3.1033333333333335,2
2020-01-01,GEN-52,Generic Painkiller 52,N02BE/B,East of England,6,18.490000000000002,3.0400000000000005,0
2020-01-01,GEN-52,Generic Painkiller 52,N02BE/B,London,25,83.97,3.4057142857142857,0
2020-01-01,GEN-52,Generic Painkiller 52,N02BE/B,North East,17,56.99,3.372,0
2020-01-01,GEN-52,Generic Painkiller 52,N02BE/B,North West,6,21.06,3.526666666666667,0
2020-01-01,GEN-52,Generic Painkiller 52,N02BE/B,Scotland,15,48.17,3.22,0
2020-01-01,GEN-52,Generic Painkiller 52,N02BE/B,South East,22,71.74,3.36,1
2020-01-01,GEN-52,Generic Painkiller 52,N02BE/B,South West,30,108.82,3.73,1
2020-01-01,GEN-52,Generic Painkiller 52,N02BE/B,West Midlands,21,67.91,3.3000000000000003,2
2020-01-01,GEN-52,Generic Painkiller 52,N02BE/B,Yorkshire & Humber,14,46.019999999999996,3.31,1
2020-01-01,GEN-53,Generic Painkiller 53,N02BE/B,East Midlands,12,40.73,3.4575,0
2020-01-01,GEN-53,Generic Painkiller 53,N02BE/B,East of England,7,23.96,3.41,0
2020-01-01,GEN-53,Generic Painkiller 53,N02BE/B,London,12,43.160000000000004,3.5700000000000003,0
2020-01-01,GEN-53,Generic Painkiller 53,N02BE/B,North East,16,58.33,3.66,0
2020-01-01,GEN-53,Generic Painkiller 53,N02BE/B,North West,8,27.25,3.48,0
2020-01-01,GEN-53,Generic Painkiller 53,N02BE/B,Scotland,6,22.33,3.7,0
2020-01-01,GEN-53,Generic Painkiller 53,N02BE/B,South East,18,65.31,3.6316666666666664,0
2020-01-01,GEN-53,Generic Painkiller 53,N02BE/B,South West,26,87.71000000000001,3.3681818181818177,0
2020-01-01,GEN-53,Generic Painkiller 53,N02BE/B,West Midlands,21,69.02,3.2528571428571427,1
2020-01-01,GEN-53,Generic Painkiller 53,N02BE/B,Yorkshire & Humber,14,51.28,3.694,0
2020-01-01,GEN-54,Generic Painkiller 54,N02BE/B,East Midlands,52,181.53,3.462105263157895,0
2020-01-01,GEN-54,Generic Painkiller 54,N02BE/B,East of England,34,120.5,3.472727272727273,0
2020-01-01,GEN-54,Generic Painkiller 54,N02BE/B,London,16,50.120000000000005,3.295,0
2020-01-01,GEN-54,Generic Painkiller 54,N02BE/B,North East,30,105.69,3.526666666666667,1
2020-01-01,GEN-54,Generic Painkiller 54,N02BE/B,North West,48,162.17,3.408,0
2020-01-01,GEN-54,Generic Painkiller 54,N02BE/B,Scotland,19,65.24,3.4316666666666666,1
2020-01-01,GEN-54,Generic Painkiller 54,N02BE/B,South East,36,125.89,3.5308333333333333,0
2020-01-01,GEN-54,Generic Painkiller 54,N02BE/B,South West,24,79.66,3.31875,2
2020-01-01,GEN-54,Generic Painkiller 54,N02BE/B,West Midlands,25,89.33,3.6100000000000003,0
2020-01-01,GEN-54,Generic Painkiller 54,N02BE/B,Yorkshire & Humber,23,77.19,3.4055555555555554,1
2020-01-01,GEN-55,Generic Painkiller 55,N02BE/B,East Midlands,242,831.44,3.4538709677419352,3
2020-01-01,GEN-55,Generic Painkiller 55,N02BE/B,East of England,244,846.79,3.5065217391304344,1
2020-01-01,GEN-55,Generic Painkiller 55,N02BE/B,London,221,760.22,3.444375,5
2020-01-01,GEN-55,Generic Painkiller 55,N02BE/B,North East,227,780.37,3.468461538461539,5
2020-01-01,GEN-55,Generic Painkiller 55,N02BE/B,North West,216,759.74,3.5107792207792206,2
2020-01-01,GEN-55,Generic Painkiller 55,N02BE/B,Scotland,256,871.5,3.435125,9
2020-01-01,GEN-55,Generic Painkiller 55,N02BE/B,South East,248,823.43,3.3285714285714287,10
2020-01-01,GEN-55,Generic Painkiller 55,N02BE/B,South West,249,851.85,3.4704687499999998,5
2020-01-01,GEN-55,Generic Painkiller 55,N02BE/B,West Midlands,235,808.17,3.4007462686567163,6
2020-01-01,GEN-55,Generic Painkiller 55,N02BE/B,Yorkshire & Humber,297,997.78,3.4027777777777777,8
2020-01-01,GEN-56,Generic Painkiller 56,N02BE/B,East Midlands,30,102.83,3.5119999999999996,1
2020-01-01,GEN-56,Generic Painkiller 56,N02BE/B,East of England,3,10.780000000000001,3.605,0
2020-01-01,GEN-56,Generic Painkiller 56,N02BE/B,London,3,10.14,3.38,0
2020-01-01,GEN-56,Generic Painkiller 56,N02BE/B,North East,35,122.1,3.5153846153846158,0
2020-01-01,GEN-56,Generic Painkiller 56,N02BE/B,North West,25,84.06,3.38875,0
2020-01-01,GEN-56,Generic Painkiller 56,N02BE/B,Scotland,2,4.97,2.49,1
2020-01-01,GEN-56,Generic Painkiller 56,N02BE/B,South East,27,93.28999999999999,3.46,0
2020-01-01,GEN-56,Generic Painkiller 56,N02BE/B,South West,14,49.79,3.4450000000000003,0
2020-01-01,GEN-56,Generic Painkiller 56,N02BE/B,West Midlands,26,87.26,3.408,1
2020-01-01,GEN-56,Generic Painkiller 56,N02BE/B,Yorkshire & Humber,14,47.11,3.3216666666666668,0
2020-01-01,GEN-57,Generic Painkiller 57,N02BE/B,East Midlands,8,28.39,3.563333333333333,0
2020-01-01,GEN-57,Generic Painkiller 57,N02BE/B,East of England,11,38.86,3.6775,0
2020-01-01,GEN-57,Generic Painkiller 57,N02BE/B,London,9,32.86,3.5774999999999997,0
2020-01-01,GEN-57,Generic Painkiller 57,N02BE/B,North East,21,73.74,3.55625,1
2020-01-01,GEN-57,Generic Painkiller 57,N02BE/B,North West,15,50.33,3.393333333333333,0
2020-01-01,GEN-57,Generic Painkiller 57,N02BE/B,Scotland,31,106.1,3.4433333333333334,1
2020-01-01,GEN-57,Generic Painkiller 57,N02BE/B,South East,14,45.05,3.2116666666666664,1
2020-01-01,GEN-57,Generic Painkiller 57,N02BE/B,South West,22,77.64,3.5828571428571427,0
2020-01-01,GEN-57,Generic Painkiller 57,N02BE/B,West Midlands,20,69.67999999999999,3.4600000000000004,0
2020-01-01,GEN-57,Generic Painkiller 57,N02BE/B,Yorkshire & Humber,12,42.05,3.4675,0
2020-01-01,GEN-58,Generic Painkiller 58,N02BE/B,East Midlands,10,33.269999999999996,3.3685714285714283,1
2020-01-01,GEN-58,Generic Painkiller 58,N02BE/B,East of England,6,19.509999999999998,3.25,1
2020-01-01,GEN-58,Generic Painkiller 58,N02BE/B,London,47,168.46,3.693076923076923,1
2020-01-01,GEN-58,Generic Painkiller 58,N02BE/B,North East,22,74.75,3.368888888888889,0
2020-01-01,GEN-58,Generic Painkiller 58,N02BE/B,North West,11,36.849999999999994,3.3225,1
2020-01-01,GEN-58,Generic Painkiller 58,N02BE/B,Scotland,13,41.32,3.27,0
2020-01-01,GEN-58,Generic Painkiller 58,N02BE/B,South East,19,64.08,3.475,0
2020-01-01,GEN-58,Generic Painkiller 58,N02BE/B,South West,19,64.45,3.337142857142857,2
2020-01-01,GEN-58,Generic Painkiller 58,N02BE/B,West Midlands,20,66.69,3.54,1
2020-01-01,GEN-58,Generic Painkiller 58,N02BE/B,Yorkshire & Humber,10,35.18,3.556,0
2020-01-01,GEN-59,Generic Painkiller 59,N02BE/B,East Midlands,11,37.239999999999995,3.396,1
2020-01-01,GEN-59,Generic Painkiller 59,N02BE/B,East of England,25,85.59,3.4825,0
2020-01-01,GEN-59,Generic Painkiller 59,N02BE/B,London,19,65.38,3.45,0
2020-01-01,GEN-59,Generic Painkiller 59,N02BE/B,North East,19,61.64,3.2725,1
2020-01-01,GEN-59,Generic Painkiller 59,N02BE/B,North West,18,59.57,3.2983333333333333,1
2020-01-01,GEN-59,Generic Painkiller 59,N02BE/B,Scotland,19,57.260000000000005,3.148,2
2020-01-01,GEN-59,Generic Painkiller 59,N02BE/B,South East,16,58.279999999999994,3.65,0
2020-01-01,GEN-59,Generic Painkiller 59,N02BE/B,South West,21,70.39999999999999,3.39375,1
2020-01-01,GEN-59,Generic Painkiller 59,N02BE/B,West Midlands,19,64.76,3.37,1
2020-01-01,GEN-59,Generic Painkiller 59,N02BE/B,Yorkshire & Humber,15,49.92,3.30625,0
2020-01-01,GEN-60,Generic Painkiller 60,N02BE/B,East Midlands,22,65.69,3.032857142857143,2
2020-01-01,GEN-60,Generic Painkiller 60,N02BE/B,East of England,33,114.55,3.473333333333333,0
2020-01-01,GEN-60,Generic Painkiller 60,N02BE/B,London,12,42.05,3.472,0
2020-01-01,GEN-60,Generic Painkiller 60,N02BE/B,North East,14,46.42,3.316,1
2020-01-01,GEN-60,Generic Painkiller 60,N02BE/B,North West,10,34.1,3.3825000000000003,0
2020-01-01,GEN-60,Generic Painkiller 60,N02BE/B,Scotland,8,27.38,3.473333333333333,0
2020-01-01,GEN-60,Generic Painkiller 60,N02BE/B,South East,8,27.79,3.475,0
2020-01-01,GEN-60,Generic Painkiller 60,N02BE/B,South West,23,83.28,3.604,0
2020-01-01,GEN-60,Generic Painkiller 60,N02BE/B,West Midlands,9,33.96,3.715,0
2020-01-01,GEN-60,Generic Painkiller 60,N02BE/B,Yorkshire & Humber,24,80.18,3.522222222222222,1
2020-01-01,GEN-61,Generic Painkiller 61,N02BE/B,East Midlands,30,100.89,3.3674999999999997,0
2020-01-01,GEN-61,Generic Painkiller 61,N02BE/B,East of England,25,84.12,3.3857142857142857,0
2020-01-01,GEN-61,Generic Painkiller 61,N02BE/B,London,19,65.36,3.4244444444444446,2
2020-01-01,GEN-61,Generic Painkiller 61,N02BE/B,North East,23,76.31,3.3633333333333333,2
2020-01-01,GEN-61,Generic Painkiller 61,N02BE/B,North West,39,132.07999999999998,3.393333333333333,1
2020-01-01,GEN-61,Generic Painkiller 61,N02BE/B,Scotland,25,88.04,3.4425,1
2020-01-01,GEN-61,Generic Painkiller 61,N02BE/B,South East,42,146.15,3.560714285714286,1
2020-01-01,GEN-61,Generic Painkiller 61,N02BE/B,South West,40,132.65,3.298,2
2020-01-01,GEN-61,Generic Painkiller 61,N02BE/B,West Midlands,50,179.56,3.5122222222222224,0
2020-01-01,GEN-61,Generic Painkiller 61,N02BE/B,Yorkshire & Humber,16,55.85,3.467,0
2020-01-01,GEN-62,Generic Painkiller 62,N02BE/B,East Midlands,65,219.43,3.438421052631579,1
2020-01-01,GEN-62,Generic Painkiller 62,N02BE/B,East of England,34,117.61,3.4646153846153847,4
2020-01-01,GEN-62,Generic Painkiller 62,N02BE/B,London,68,232.2,3.4523809523809526,1
2020-01-01,GEN-62,Generic Painkiller 62,N02BE/B,North East,58,197.27,3.3975,1
2020-01-01,GEN-62,Generic Painkiller 62,N02BE/B,North West,33,117.03,3.5764285714285715,2
2020-01-01,GEN-62,Generic Painkiller 62,N02BE/B,Scotland,47,162.75,3.5126666666666666,0
2020-01-01,GEN-62,Generic Painkiller 62,N02BE/B,South East,55,182.96,3.3373684210526315,3
2020-01-01,GEN-62,Generic Painkiller 62,N02BE/B,South West,24,80.5,3.416363636363636,0
2020-01-01,GEN-62,Generic Painkiller 62,N02BE/B,West Midlands,30,103.88,3.43125,1
2020-01-01,GEN-62,Generic Painkiller 62,N02BE/B,Yorkshire & Humber,35,119.61,3.450909090909091,2
2020-01-01,GEN-63,Generic Painkiller 63,N02BE/B,East Midlands,38,127.47,3.338461538461538,2
2020-01-01,GEN-63,Generic Painkiller 63,N02BE/B,East of England,40,133.58,3.43,1
2020-01-01,GEN-63,Generic Painkiller 63,N02BE/B,London,52,176.77,3.464,1
2020-01-01,GEN-63,Generic Painkiller 63,N02BE/B,North East,49,171.78,3.5605882352941176,1
2020-01-01,GEN-63,Generic Painkiller 63,N02BE/B,North West,44,144.2,3.3214285714285716,2
2020-01-01,GEN-63,Generic Painkiller 63,N02BE/B,Scotland,33,115.03999999999999,3.501666666666667,0
2020-01-01,GEN-63,Generic Painkiller 63,N02BE/B,South East,46,165.02,3.5516666666666667,1
2020-01-01,GEN-63,Generic Painkiller 63,N02BE/B,South West,24,80.08,3.308,1
2020-01-01,GEN-63,Generic Painkiller 63,N02BE/B,West Midlands,35,119.96000000000001,3.4490909090909088,0
2020-01-01,GEN-63,Generic Painkiller 63,N02BE/B,Yorkshire & Humber,22,66.74,3.15,3
2020-01-01,GEN-64,Generic Painkiller 64,N02BE/B,East Midlands,942,3214.31,3.4074619289340102,22
2020-01-01,GEN-64,Generic Painkiller 64,N02BE/B,East of England,815,2810.14,3.4691959798994976,9
2020-01-01,GEN-64,Generic Painkiller 64,N02BE/B,London,845,2892.14,3.4493714285714283,13
2020-01-01,GEN-64,Generic Painkiller 64,N02BE/B,North East,818,2793.64,3.437777777777778,16
2020-01-01,GEN-64,Generic Painkiller 64,N02BE/B,North West,785,2691.33,3.453806818181818,9
2020-01-01,GEN-64,Generic Painkiller 64,N02BE/B,Scotland,855,2923.07,3.4488359788359793,14
2020-01-01,GEN-64,Generic Painkiller 64,N02BE/B,South East,873,2992.22,3.458277777777778,17
2020-01-01,GEN-64,Generic Painkiller 64,N02BE/B,South West,850,2927.63,3.4665363128491617,11
2020-01-01,GEN-64,Generic Painkiller 64,N02BE/B,West Midlands,874,3018.73,3.479100529100529,8
2020-01-01,GEN-64,Generic Painkiller 64,N02BE/B,Yorkshire & Humber,833,2860.88,3.4758730158730162,10
2020-01-01,GEN-65,Generic Painkiller 65,N02BE/B,East Midlands,48,177.24,3.6761904761904765,1
2020-01-01,GEN-65,Generic Painkiller 65,N02BE/B,East of England,70,229.59,3.2590476190476187,5
2020-01-01,GEN-65,Generic Painkiller 65,N02BE/B,London,57,197.73,3.452631578947368,2
2020-01-01,GEN-65,Generic Painkiller 65,N02BE/B,North East,64,216.29,3.3699999999999997,1
2020-01-01,GEN-65,Generic Painkiller 65,N02BE/B,North West,86,285.38,3.349310344827586,4
2020-01-01,GEN-65,Generic Painkiller 65,N02BE/B,Scotland,51,176.9,3.498333333333333,1
2020-01-01,GEN-65,Generic Painkiller 65,N02BE/B,South East,53,192.1,3.6,0
2020-01-01,GEN-65,Generic Painkiller 65,N02BE/B,South West,51,173.12,3.4305555555555554,2
2020-01-01,GEN-65,Generic Painkiller 65,N02BE/B,West Midlands,66,224.68,3.422941176470588,1
2020-01-01,GEN-65,Generic Painkiller 65,N02BE/B,Yorkshire & Humber,56,191.19,3.471,2
2020-01-01,M01AB-01,Diclofenac,M01AB,East Midlands,73,537.41,7.384166666666666,2
2020-01-01,M01AB-01,Diclofenac,M01AB,East of England,107,781.24,7.348,2
2020-01-01,M01AB-01,Diclofenac,M01AB,London,94,683.09,7.298461538461538,1
2020-01-01,M01AB-01,Diclofenac,M01AB,North East,65,475.5,7.3168,1
2020-01-01,M01AB-01,Diclofenac,M01AB,North West,74,534.06,7.118709677419355,3
2020-01-01,M01AB-01,Diclofenac,M01AB,Scotland,55,401.57,7.350526315789473,1
2020-01-01,M01AB-01,Diclofenac,M01AB,South East,58,409.94,7.235263157894737,3
2020-01-01,M01AB-01,Diclofenac,M01AB,South West,85,616.81,7.3165625,2
2020-01-01,M01AB-01,Diclofenac,M01AB,West Midlands,81,597.26,7.4009375,2
2020-01-01,M01AB-01,Diclofenac,M01AB,Yorkshire & Humber,84,637.81,7.508888888888889,1
2020-01-01,M01AB-02,Indomethacin,M01AB,East Midlands,96,713.09,7.430370370370371,2
2020-01-01,M01AB-02,Indomethacin,M01AB,East of England,68,487.15000000000003,7.264782608695652,0
2020-01-01,M01AB-02,Indomethacin,M01AB,London,82,606.6,7.322857142857143,2
2020-01-01,M01AB-02,Indomethacin,M01AB,North East,60,435.01,7.3736,0
2020-01-01,M01AB-02,Indomethacin,M01AB,North West,84,623.23,7.501666666666667,0
2020-01-01,M01AB-02,Indomethacin,M01AB,Scotland,49,371.88,7.494736842105263,0
2020-01-01,M01AB-02,Indomethacin,M01AB,South East,40,294.25,7.331111111111111,1
2020-01-01,M01AB-02,Indomethacin,M01AB,South West,71,504.66,7.065185185185185,5
2020-01-01,M01AB-02,Indomethacin,M01AB,West Midlands,105,798.58,7.473333333333333,3
2020-01-01,M01AB-02,Indomethacin,M01AB,Yorkshire & Humber,72,549.66,7.486000000000001,1
2020-01-01,M01AB-03,Ketorolac,M01AB,East Midlands,83,617.04,7.513928571428571,3
2020-01-01,M01AB-03,Ketorolac,M01AB,East of England,85,622.92,7.412083333333334,5
2020-01-01,M01AB-03,Ketorolac,M01AB,London,97,691.19,7.12,3
2020-01-01,M01AB-03,Ketorolac,M01AB,North East,92,686.1700000000001,7.357777777777778,4
2020-01-01,M01AB-03,Ketorolac,M01AB,North West,73,527.56,7.340769230769231,3
2020-01-01,M01AB-03,Ketorolac,M01AB,Scotland,67,505.37,7.502857142857143,0
2020-01-01,M01AB-03,Ketorolac,M01AB,South East,62,457.92,7.392380952380953,0
2020-01-01,M01AB-03,Ketorolac,M01AB,South West,95,719.54,7.592692307692308,0
2020-01-01,M01AB-03,Ketorolac,M01AB,West Midlands,64,458.21,7.232173913043479,1
2020-01-01,M01AB-03,Ketorolac,M01AB,Yorkshire & Humber,87,655.9300000000001,7.377142857142857,1
2020-01-01,M01AB-04,Etodolac,M01AB,East Midlands,27,196.09,7.495,1
2020-01-01,M01AB-04,Etodolac,M01AB,East of England,10,73.78,7.45,0
2020-01-01,M01AB-04,Etodolac,M01AB,London,22,153.52,7.04875,1
2020-01-01,M01AB-04,Etodolac,M01AB,North East,26,180.24,7.12125,2
2020-01-01,M01AB-04,Etodolac,M01AB,North West,52,377.09000000000003,7.17875,2
2020-01-01,M01AB-04,Etodolac,M01AB,Scotland,7,54.41,7.75,0
2020-01-01,M01AB-04,Etodolac,M01AB,South East,15,112.67,7.796666666666667,0
2020-01-01,M01AB-04,Etodolac,M01AB,South West,7,54.67,8.133333333333333,0
2020-01-01,M01AB-04,Etodolac,M01AB,West Midlands,9,68.96000000000001,7.79,0
2020-01-01,M01AB-04,Etodolac,M01AB,Yorkshire & Humber,2,12.46,6.23,0
2020-01-01,M01AB-05,Aceclofenac,M01AB,East Midlands,8,53.32,6.859999999999999,1
2020-01-01,M01AB-05,Aceclofenac,M01AB,East of England,14,96.92,7.159999999999999,1
2020-01-01,M01AB-05,Aceclofenac,M01AB,London,8,57.35,7.216666666666666,0
2020-01-01,M01AB-05,Aceclofenac,M01AB,North East,16,109.67,7.121666666666666,1
2020-01-01,M01AB-05,Aceclofenac,M01AB,North West,12,84.42,7.2725,0
2020-01-01,M01AB-05,Aceclofenac,M01AB,Scotland,13,95.4,7.376666666666666,0
2020-01-01,M01AB-05,Aceclofenac,M01AB,South East,19,147.56,7.7475000000000005,0
2020-01-01,M01AB-05,Aceclofenac,M01AB,South West,22,171.79999999999998,7.758333333333333,0
2020-01-01,M01AB-05,Aceclofenac,M01AB,West Midlands,13,99.58,7.5760000000000005,0
2020-01-01,M01AB-05,Aceclofenac,M01AB,Yorkshire & Humber,12,85.3,7.0825,1
2020-01-01,M01AE-01,Ibuprofen 200mg,M01AE,East Midlands,40,245.13,6.1923076923076925,0
2020-01-01,M01AE-01,Ibuprofen 200mg,M01AE,East of England,40,241.7,5.985714285714286,3
2020-01-01,M01AE-01,Ibuprofen 200mg,M01AE,London,29,168.6,5.817,2
2020-01-01,M01AE-01,Ibuprofen 200mg,M01AE,North East,58,329.59,5.858421052631579,3
2020-01-01,M01AE-01,Ibuprofen 200mg,M01AE,North West,50,297.23,6.0216666666666665,3
2020-01-01,M01AE-01,Ibuprofen 200mg,M01AE,Scotland,25,144.23,5.782727272727272,0
2020-01-01,M01AE-01,Ibuprofen 200mg,M01AE,South East,49,282.78,5.8765,1
2020-01-01,M01AE-01,Ibuprofen 200mg,M01AE,South West,65,387.39,5.870952380952382,0
2020-01-01,M01AE-01,Ibuprofen 200mg,M01AE,West Midlands,42,247.05,5.8933333333333335,0
2020-01-01,M01AE-01,Ibuprofen 200mg,M01AE,Yorkshire & Humber,19,107.38,5.696666666666666,0
2020-01-01,M01AE-02,Ibuprofen 400mg,M01AE,East Midlands,47,278.61,5.975,1
2020-01-01,M01AE-02,Ibuprofen 400mg,M01AE,East of England,35,209.2,5.998666666666667,1
2020-01-01,M01AE-02,Ibuprofen 400mg,M01AE,London,45,252.54,5.857333333333333,2
2020-01-01,M01AE-02,Ibuprofen 400mg,M01AE,North East,45,280.78999999999996,6.293125,0
2020-01-01,M01AE-02,Ibuprofen 400mg,M01AE,North West,23,135.62,5.933333333333334,1
2020-01-01,M01AE-02,Ibuprofen 400mg,M01AE,Scotland,21,122.75,5.80625,0
2020-01-01,M01AE-02,Ibuprofen 400mg,M01AE,South East,43,258.43,5.997894736842106,0
